show_id,type_show,title,date_added,release_year
s1,Movie,"Dick Johnson Is Dead","0000-00-00 00:00:00","0000-00-00 00:00:00"
s10,Movie,"The Starling","0000-00-00 00:00:00","0000-00-00 00:00:00"
s100,"TV Show","On the Verge","0000-00-00 00:00:00","0000-00-00 00:00:00"
s101,"TV Show","Tobot Galaxy Detectives","0000-00-00 00:00:00","0000-00-00 00:00:00"
s11,"TV Show","Vendetta: Truth, Lies and The Mafia","0000-00-00 00:00:00","0000-00-00 00:00:00"
s12,"TV Show","Bangkok Breaking","0000-00-00 00:00:00","0000-00-00 00:00:00"
s13,Movie,"Je Suis Karl","0000-00-00 00:00:00","0000-00-00 00:00:00"
s14,Movie,"Confessions of an Invisible Girl","0000-00-00 00:00:00","0000-00-00 00:00:00"
s15,"TV Show","Crime Stories: India Detectives","0000-00-00 00:00:00","0000-00-00 00:00:00"
s16,"TV Show","Dear White People","0000-00-00 00:00:00","0000-00-00 00:00:00"
s17,Movie,"Europe's Most Dangerous Man: Otto Skorzeny in Spain","0000-00-00 00:00:00","0000-00-00 00:00:00"
s18,"TV Show","Falsa identidad","0000-00-00 00:00:00","0000-00-00 00:00:00"
s19,Movie,Intrusion,"0000-00-00 00:00:00","0000-00-00 00:00:00"
s2,"TV Show","Blood & Water","0000-00-00 00:00:00","0000-00-00 00:00:00"
s20,"TV Show",Jaguar,"0000-00-00 00:00:00","0000-00-00 00:00:00"
s21,"TV Show","Monsters Inside: The 24 Faces of Billy Milligan","0000-00-00 00:00:00","0000-00-00 00:00:00"
s22,"TV Show","Resurrection: Ertugrul","0000-00-00 00:00:00","0000-00-00 00:00:00"
s23,Movie,"Avvai Shanmughi","0000-00-00 00:00:00","0000-00-00 00:00:00"
s24,Movie,"Go! Go! Cory Carson: Chrissy Takes the Wheel","0000-00-00 00:00:00","0000-00-00 00:00:00"
s25,Movie,Jeans,"0000-00-00 00:00:00","0000-00-00 00:00:00"
s26,"TV Show","Love on the Spectrum","0000-00-00 00:00:00","0000-00-00 00:00:00"
s27,Movie,"Minsara Kanavu","0000-00-00 00:00:00","0000-00-00 00:00:00"
s28,Movie,"Grown Ups","0000-00-00 00:00:00","0000-00-00 00:00:00"
s29,Movie,"Dark Skies","0000-00-00 00:00:00","0000-00-00 00:00:00"
s3,"TV Show",Ganglands,"0000-00-00 00:00:00","0000-00-00 00:00:00"
s30,Movie,Paranoia,"0000-00-00 00:00:00","0000-00-00 00:00:00"
s31,Movie,"Ankahi Kahaniya","0000-00-00 00:00:00","0000-00-00 00:00:00"
s32,"TV Show","Chicago Party Aunt","0000-00-00 00:00:00","0000-00-00 00:00:00"
s33,"TV Show","Sex Education","0000-00-00 00:00:00","0000-00-00 00:00:00"
s34,"TV Show","Squid Game","0000-00-00 00:00:00","0000-00-00 00:00:00"
s35,"TV Show","Tayo and Little Wizards","0000-00-00 00:00:00","0000-00-00 00:00:00"
s36,Movie,"The Father Who Moves Mountains","0000-00-00 00:00:00","0000-00-00 00:00:00"
s37,Movie,"The Stronghold","0000-00-00 00:00:00","0000-00-00 00:00:00"
s38,"TV Show","Angry Birds","0000-00-00 00:00:00","0000-00-00 00:00:00"
s39,Movie,"Birth of the Dragon","0000-00-00 00:00:00","0000-00-00 00:00:00"
s4,"TV Show","Jailbirds New Orleans","0000-00-00 00:00:00","0000-00-00 00:00:00"
s40,"TV Show","Chhota Bheem","0000-00-00 00:00:00","0000-00-00 00:00:00"
s41,"TV Show","He-Man and the Masters of the Universe","0000-00-00 00:00:00","0000-00-00 00:00:00"
s42,Movie,Jaws,"0000-00-00 00:00:00","0000-00-00 00:00:00"
s43,Movie,"Jaws 2","0000-00-00 00:00:00","0000-00-00 00:00:00"
s44,Movie,"Jaws 3","0000-00-00 00:00:00","0000-00-00 00:00:00"
s45,Movie,"Jaws: The Revenge","0000-00-00 00:00:00","0000-00-00 00:00:00"
s46,Movie,"My Heroes Were Cowboys","0000-00-00 00:00:00","0000-00-00 00:00:00"
s47,Movie,"Safe House","0000-00-00 00:00:00","0000-00-00 00:00:00"
s48,"TV Show","The Smart Money Woman","0000-00-00 00:00:00","0000-00-00 00:00:00"
s49,Movie,"Training Day","0000-00-00 00:00:00","0000-00-00 00:00:00"
s5,"TV Show","Kota Factory","0000-00-00 00:00:00","0000-00-00 00:00:00"
s50,"TV Show","Castle and Castle","0000-00-00 00:00:00","0000-00-00 00:00:00"
s51,"TV Show",Dharmakshetra,"0000-00-00 00:00:00","0000-00-00 00:00:00"
s52,Movie,"InuYasha the Movie 2: The Castle Beyond the Looking Glass","0000-00-00 00:00:00","0000-00-00 00:00:00"
s53,Movie,"InuYasha the Movie 3: Swords of an Honorable Ruler","0000-00-00 00:00:00","0000-00-00 00:00:00"
s54,Movie,"InuYasha the Movie 4: Fire on the Mystic Island","0000-00-00 00:00:00","0000-00-00 00:00:00"
s55,Movie,"InuYasha the Movie: Affections Touching Across Time","0000-00-00 00:00:00","0000-00-00 00:00:00"
s56,"TV Show","Nailed It","0000-00-00 00:00:00","0000-00-00 00:00:00"
s57,Movie,"Naruto Shippuden the Movie: Blood Prison","0000-00-00 00:00:00","0000-00-00 00:00:00"
s58,Movie,"Naruto ShippÃ»den the Movie: Bonds","0000-00-00 00:00:00","0000-00-00 00:00:00"
s59,Movie,"Naruto ShippÃ»den the Movie: The Will of Fire","0000-00-00 00:00:00","0000-00-00 00:00:00"
s6,"TV Show","Midnight Mass","0000-00-00 00:00:00","0000-00-00 00:00:00"
s60,Movie,"Naruto Shippuden: The Movie","0000-00-00 00:00:00","0000-00-00 00:00:00"
s61,Movie,"Naruto Shippuden: The Movie: The Lost Tower","0000-00-00 00:00:00","0000-00-00 00:00:00"
s62,Movie,"Naruto the Movie 2: Legend of the Stone of Gelel","0000-00-00 00:00:00","0000-00-00 00:00:00"
s63,Movie,"Naruto the Movie 3: Guardians of the Crescent Moon Kingdom","0000-00-00 00:00:00","0000-00-00 00:00:00"
s64,Movie,"Naruto the Movie: Ninja Clash in the Land of Snow","0000-00-00 00:00:00","0000-00-00 00:00:00"
s65,Movie,Nightbooks,"0000-00-00 00:00:00","0000-00-00 00:00:00"
s66,"TV Show",Numberblocks,"0000-00-00 00:00:00","0000-00-00 00:00:00"
s67,"TV Show","Raja Rasoi Aur Anya Kahaniyan","0000-00-00 00:00:00","0000-00-00 00:00:00"
s68,"TV Show","Saved by the Bell","0000-00-00 00:00:00","0000-00-00 00:00:00"
s69,Movie,Schumacher,"0000-00-00 00:00:00","0000-00-00 00:00:00"
s7,Movie,"My Little Pony: A New Generation","0000-00-00 00:00:00","0000-00-00 00:00:00"
s70,"TV Show","Stories by Rabindranath Tagore","0000-00-00 00:00:00","0000-00-00 00:00:00"
s71,"TV Show","Too Hot To Handle: Latino","0000-00-00 00:00:00","0000-00-00 00:00:00"
s72,Movie,"A StoryBots Space Adventure","0000-00-00 00:00:00","0000-00-00 00:00:00"
s73,"TV Show","Jack Whitehall: Travels with My Father","0000-00-00 00:00:00","0000-00-00 00:00:00"
s74,Movie,"King of Boys","0000-00-00 00:00:00","0000-00-00 00:00:00"
s75,"TV Show","The World's Most Amazing Vacation Rentals","0000-00-00 00:00:00","0000-00-00 00:00:00"
s76,Movie,"You vs. Wild: Out Cold","0000-00-00 00:00:00","0000-00-00 00:00:00"
s77,"TV Show","Yowamushi Pedal","0000-00-00 00:00:00","0000-00-00 00:00:00"
s78,Movie,"Little Singham - Black Shadow","0000-00-00 00:00:00","0000-00-00 00:00:00"
s79,Movie,"Tughlaq Durbar","0000-00-00 00:00:00","0000-00-00 00:00:00"
s8,Movie,Sankofa,"0000-00-00 00:00:00","0000-00-00 00:00:00"
s80,Movie,"Tughlaq Durbar (Telugu)","0000-00-00 00:00:00","0000-00-00 00:00:00"
s81,Movie,"Firedrake the Silver Dragon","0000-00-00 00:00:00","0000-00-00 00:00:00"
s82,Movie,Kate,"0000-00-00 00:00:00","0000-00-00 00:00:00"
s83,"TV Show",Lucifer,"0000-00-00 00:00:00","0000-00-00 00:00:00"
s84,"TV Show","Metal Shop Masters","0000-00-00 00:00:00","0000-00-00 00:00:00"
s85,Movie,"Omo Ghetto: the Saga","0000-00-00 00:00:00","0000-00-00 00:00:00"
s86,"TV Show","PokÃ©mon Master Journeys: The Series","0000-00-00 00:00:00","0000-00-00 00:00:00"
s87,Movie,Prey,"0000-00-00 00:00:00","0000-00-00 00:00:00"
s88,"TV Show","Titipo Titipo","0000-00-00 00:00:00","0000-00-00 00:00:00"
s89,Movie,"Blood Brothers: Malcolm X & Muhammad Ali","0000-00-00 00:00:00","0000-00-00 00:00:00"
s9,"TV Show","The Great British Baking Show","0000-00-00 00:00:00","0000-00-00 00:00:00"
s90,"TV Show","Mighty Raju","0000-00-00 00:00:00","0000-00-00 00:00:00"
s91,Movie,"Paradise Hills","0000-00-00 00:00:00","0000-00-00 00:00:00"
s92,Movie,"The Women and the Murderer","0000-00-00 00:00:00","0000-00-00 00:00:00"
s93,"TV Show","Into the Night","0000-00-00 00:00:00","0000-00-00 00:00:00"
s94,Movie,JJ+E,"0000-00-00 00:00:00","0000-00-00 00:00:00"
s95,Movie,"Show Dogs","0000-00-00 00:00:00","0000-00-00 00:00:00"
s96,"TV Show","The Circle","0000-00-00 00:00:00","0000-00-00 00:00:00"
s97,Movie,"If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd","0000-00-00 00:00:00","0000-00-00 00:00:00"
s98,"TV Show","Kid Cosmic","0000-00-00 00:00:00","0000-00-00 00:00:00"
s99,"TV Show","Octonauts: Above & Beyond","0000-00-00 00:00:00","0000-00-00 00:00:00"
